feed_onestop_id	feed_url	operator_country	operator_state	operator_metro	operator_name	operator_onestop_id	gtfs_data_exchange
f-9qbb-marintransit	http://www.marintransit.org/data/google_transit.zip	US	US-CA	Marin County	Marin County Transit District	o-9qbb-marintransit	marin-transit
f-9qb-mendocino~ca~us	http://data.trilliumtransit.com/gtfs/mendocino-ca-us/mendocino-ca-us.zip	US	US-CA	Mendocino	Mendocino Transit Authority	o-9qb-mendocinotransitauthority	mendocino-transit-authority
f-9qd-mercedthebus~ca~us	http://data.trilliumtransit.com/gtfs/mercedthebus-ca-us/mercedthebus-ca-us.zip	US	US-CA	Merced County	The Bus	o-9qd-thebus	the-bus
f-9q9y-escalon~ca~us	http://data.trilliumtransit.com/gtfs/escalon-ca-us/escalon-ca-us.zip	US	US-CA	Modesto	eTrans	o-9q9y-etrans	
f-9q9-modesto~ca~us	http://data.trilliumtransit.com/gtfs/modesto-ca-us/modesto-ca-us.zip	US	US-CA	Modesto	Modesto Area Express	o-9q9-modestoareaexpress	modesto-area-express
f-9qd-stanislaus~ca~us	http://data.trilliumtransit.com/gtfs/stanislaus-ca-us/stanislaus-ca-us.zip	US	US-CA	Modesto	"Stanislaus Regional Transit, Bus Line Service of Turlock, Ceres Area Transit"	"o-9q9-stanislausmetroaltransit, o-9qdj3-buslineserviceofturlock, o-9q9vz-ceresareatransit"	stanislaus-regional-transit
f-9q9-monterey~salinastransit	http://www.mst.org/google/google_transit.zip	US	US-CA	Monterey	Monterey-Salinas Transit	o-9q9-monterey~salinastransit	monterey-salinas-transit
f-9q5cx-montereypark~ca~us	http://data.trilliumtransit.com/gtfs/montereypark-ca-us/montereypark-ca-us.zip	US	US-CA	Monterey Park	Spirit Bus	o-9q5cx-spiritbus	
f-9q611-morrobaytransit	http://mjcaction.com/MJC_GTFS_Public/morrobay_google_transit.zip	US	US-CA	Morro Bay	Morro Bay Transit	o-9q611-morrobaytransit	
f-9qcy-nevadacountygoldcountrystage	http://gis.nevcounty.net/GTFS/GTFS.zip	US	US-CA	Nevada County	Nevada County	o-9qcy-nevadacountygoldcountrystage	nevada-county-gold-country-stage
f-9qh1-norwalktransitsystem	http://data.trilliumtransit.com/gtfs/nts-ca-us/nts-ca-us.zip	US	US-CA	Norwalk	Norwalk Transit System	o-9qh1-norwalktransitsystem	
f-9mu-orangecountytransportationauthority	http://www.octa.net/current/google_transit.zip	US	US-CA	Orange County	Orange County Transportation Authority	o-9mu-orangecountytransportationauthority	orange-county-transportation-authority
f-9q54-goldcoasttransit	http://www.goldcoasttransit.org/images/GTFS/GTFS.zip	US	US-CA	Oxnard	Gold Coast Transit	o-9q54-goldcoasttransit	
f-9qj-sunlinetransitagency	http://www.sunline.org/transit/google_transit.zip	US	US-CA	Palm Springs	Sunline Transit Agency	o-9qj-sunlinetransitagency	sunline-transit-agency
f-9q9hu-cityofpaloaltoshuttle	http://mjcaction.com/MJC_GTFS_Public/cityofpaloalto_google_transit.zip	US	US-CA	Palo Alto	City of Palo Alto Shuttle	o-9q9hu-cityofpaloaltoshuttle	
f-9q5f-pasadenatransit	http://rt.pasadenatransit.net/rtt/public/utility/gtfs.aspx	US	US-CA	Pasadena	Pasadena Transit	o-9q5f-pasadenatransit	
f-9qc-placercountytransit	http://iportal.sacrt.com/gtfs/PCT/20080914/google_transit.zip	US	US-CA	Placer County	Placer County Transit	o-9qc-placercountytransit	
f-9r4-plumas~ca~us	http://data.trilliumtransit.com/gtfs/plumas-ca-us/plumas-ca-us.zip	US	US-CA	Plumas County	Plumas Transit	o-9r4-plumastransit	plumas-transit
f-9q7m-portervilletransit	http://demopro.nationalrtap.org/admin/GTFSzipFiles/526/google_transit.zip	US	US-CA	Porterville	Porterville Transit	o-9q7m-portervilletransit	
f-9r1-tehama~ca~us	http://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip	US	US-CA	"Red Bluff, Lassen County"	"Tehama Rural Area Express, Susanville Indian Rancheria Public Transportation Program"	"o-9r1h-tehamaruralareaexpress, o-9r1-susanvilleindianrancheriapublictransportationprogram"	tehama-rural-area-express
f-9r0-redding~ca~us	http://data.trilliumtransit.com/gtfs/redding-ca-us/redding-ca-us.zip	US	US-CA	Redding	Redding Area Bus Authority	o-9r0-reddingareabusauthority	redding-area-bus-authority
f-9qh-riversidetransitagency	http://www.riversidetransit.com/google_transit.zip	US	US-CA	Riverside	Riverside Transit Agency	o-9qh-riversidetransitagency	riverside-transit-agency
f-9qcs-rosevilletransit	http://iportal.sacrt.com/GTFS/Roseville/google_transit.zip	US	US-CA	Roseville	Roseville Transit	o-9qcs-rosevilletransit	roseville-transit
f-9qc-eldoradotransit~ca~us	http://data.trilliumtransit.com/gtfs/eldoradotransit-ca-us/eldoradotransit-ca-us.zip	US	US-CA	Sacramento	El Dorado Transit	o-9qc-eldoradotransit	el-dorado-transit
f-9qce-sacramentoregionaltransit	http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip	US	US-CA	Sacramento	Sacramento Regional Transit	o-9qce-sacramentoregionaltransit	sacramento-regional-transit
f-9q99-sanbenito~ca~us	http://data.trilliumtransit.com/gtfs/sanbenitocounty-ca-us/sanbenitocounty-ca-us.zip	US	US-CA	San Benito County	San Benito County Express	o-9q99-sanbenitocountyexpress	san-benito-county-express
f-9qh-omnitrans	http://www.omnitrans.org/google/google_transit.zip	US	US-CA	San Bernardino	OmniTrans	o-9qh-omnitrans	omnitrans
f-9qh-victorville~ca~us	http://data.trilliumtransit.com/gtfs/victorville-ca-us/victorville-ca-us.zip	US	US-CA	San Bernardino County	Victor Valley Transit Authority	o-9qh-victorvalleytransitauthority	
f-9qhf-bigbear~ca~us	http://data.trilliumtransit.com/gtfs/bigbear-ca-us/bigbear-ca-us.zip	US	US-CA	San Bernardino County	Mountain Transit	o-9qhf-mountaintransit	mountain-transit
f-9mu-northcountytransitdistrict	http://www.gonctd.com/google_transit.zip	US	US-CA	San Diego	North County Transit District	o-9mu-northcountytransitdistrict	north-county-transit-district
f-9mu-mts	http://www.sdmts.com/google_transit_files/google_transit.zip	US	US-CA	San Diego	Metropolitan Transit System	o-9mu-mts	
f-9q9p-sanfranciscobayferry	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=SB	US	US-CA	San Francisco Bay Area	San Francisco Bay Ferry	o-9q9p-sanfranciscobayferry	
f-9qc2-trideltatransit	http://70.232.147.132/rtt/public/utility/gtfs.aspx	US	US-CA	San Francisco Bay Area	Tri Delta Transit	o-9qc2-trideltatransit	
f-9qbc9-petalumatransit~petaluma~ca~us	http://data.trilliumtransit.com/gtfs/petalumatransit-petaluma-ca-us/petalumatransit-petaluma-ca-us.zip	US	US-CA	San Francisco Bay Area	Petaluma Transit	o-9qbc9-petalumatransit	
f-9q9jy-unioncitytransit	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=UC	US	US-CA	San Francisco Bay Area	Union City Transit	o-9q9jy-unioncitytransit	
f-9q9p-ccctaorg	http://data.trilliumtransit.com/gtfs/ccta-vt-us/ccta-vt-us.zip	US	US-CA	San Francisco Bay Area	County Connection	o-9q9p-countyconnection	county-connection
f-9qc14-americancanyontransit	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=AY	US	US-CA	San Francisco Bay Area	American Canyon Transit	o-9qc14-americancanyontransit	
f-9qb-smart	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=SA	US	US-CA	San Francisco Bay Area	SMART	o-9qb-smart	
f-9q9hy-mountainview	http://data.trilliumtransit.com/gtfs/mountainview-ca-us/mountainview-ca-us.zip	US	US-CA	San Francisco Bay Area	Mountain View Transportation Management Association	o-9q9hy-mvgomountainview	
f-9q8zm-blue~goldfleet	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=BG	US	US-CA	San Francisco Bay Area	Blue & Gold Fleet	o-9q8zm-blue~goldfleet	blue-gold-fleet
f-9q9h-stanford~marguerite	https://transportation-forms.stanford.edu/google/google_transit.zip	US	US-CA	San Francisco Bay Area	Stanford Marguerite Shuttle	o-9q9h-stanford~marguerite	
f-9qc-capitolcorridor	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=AM	US	US-CA	San Francisco Bay Area	Capitol Corridor	o-9qc-capitolcorridor	capitol-corridor-joint-powers-authority
f-9q8zr-tidelinewatertaxi~ca~us	http://trilliumtransit.com/transit_feeds/tidelinewatertaxi-ca-us/tidelinewatertaxi-ca-us.zip	US	US-CA	San Francisco Bay Area	Tideline Water Taxi	o-9q8zr-tidelinewatertaxi	
f-9q9j-dumbartonexpress	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=DE	US	US-CA	San Francisco Bay Area	Dumbarton Express	o-9q9j-dumbartonexpress	
f-9q8v-commuteorgshuttle	http://www.commute.org/files/gtfs/Masterzip.zip	US	US-CA	San Francisco Bay Area	Commute.org Shuttles of San Mateo County	o-9q8v-commuteorgshuttle	
f-9q9-bart	http://www.bart.gov/dev/schedules/google_transit.zip	US	US-CA	San Francisco Bay Area	Bay Area Rapid Transit	o-9q9-bart	bay-area-rapid-transit
f-9qc0-soltrans~ca~us	http://data.trilliumtransit.com/gtfs/soltrans-ca-us/soltrans-ca-us.zip	US	US-CA	San Francisco Bay Area	 Solano County Transit	o-9qc0-soltrans	
f-9qb-sonomacounty~ca~us	http://data.trilliumtransit.com/gtfs/sonomacounty-ca-us/sonomacounty-ca-us.zip	US	US-CA	San Francisco Bay Area	Sonoma County Transit	o-9qb-sonomacountytransit	sonoma-county-transit
f-9q9-actransit	http://www.actransit.org/wp-content/uploads/GTFSJune182017B.zip	US	US-CA	San Francisco Bay Area	Alameda-Contra Costa Transit District	o-9q9-actransit	ac-transit
f-9qc60-vacavillecitycoach	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=VC	US	US-CA	San Francisco Bay Area	Vacaville City Coach	o-9qc60-vacavillecitycoach	
f-9q9-vta	http://www.vta.org/sfc/servlet.shepherd/document/download/069A0000001NUea	US	US-CA	San Francisco Bay Area	Santa Clara Valley Transportation Authority	o-9q9-vta	vta
f-9qc-vinenapacounty	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=VN	US	US-CA	San Francisco Bay Area	Vine (Napa County)	o-9qc-vinenapacounty	
f-9qb-goldengatetransit	http://goldengatetransit.org/googleTransit/GTFSTransitData.zip	US	US-CA	San Francisco Bay Area	Golden Gate Transit	o-9qb-goldengatetransit	golden-gate-transit
f-9qc3-riovistadeltabreeze	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=RV	US	US-CA	San Francisco Bay Area	Rio Vista Delta Breeze	o-9qc3-riovistadeltabreeze	rio-vista-delta-breeze
f-9q8-samtrans	http://www.samtrans.com/AssetFactory.aspx?did=3191	US	US-CA	San Francisco Bay Area	San Mateo County Transit District	o-9q8-samtrans	samtrans
f-9q8y-sfmta	http://archives.sfmta.com/transitdata/google_transit.zip	US	US-CA	San Francisco Bay Area	San Francisco Municipal Transportation Agency	o-9q8y-sfmta	san-francisco-municipal-transportation-agency
f-9qc-westcat~ca~us	http://data.trilliumtransit.com/gtfs/westcat-ca-us/westcat-ca-us.zip	US	US-CA	San Francisco Bay Area	WestCat (Western Contra Costa)	o-9qc-westcatwesterncontracosta	
f-9qc-fairfield~ca~us	http://data.trilliumtransit.com/gtfs/fairfield-ca-us/fairfield-ca-us.zip	US	US-CA	San Francisco Bay Area	Fairfield and Suisun Transit	o-9qc-fairfieldandsuisuntransit	fairfield-and-suisun-transit
f-9q8z-goldengateferry	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=GF	US	US-CA	San Francisco Bay Area	Golden Gate Ferry	o-9q8z-goldengateferry	golden-gate-ferry
f-9q9p3-emerygoround	http://data.trilliumtransit.com/gtfs/emerygoround-ca-us/emerygoround-ca-us.zip	US	US-CA	San Francisco Bay Area	Emery Go-Round	o-9q9p3-emerygo~round	
f-9q9-acealtamontcorridorexpress	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=CE	US	US-CA	San Francisco Bay Area	ACE Altamont Corridor Express	o-9q9-acealtamontcorridorexpress	
f-9q9-caltrain	http://www.caltrain.com/Assets/GTFS/caltrain/CT-GTFS.zip	US	US-CA	San Francisco Bay Area	Caltrain	o-9q9-caltrain	caltrain
f-9q8zn-alcatrazhornblowerferry	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=HF	US	US-CA	San Francisco Bay Area	Alcatraz Hornblower Ferry	o-9q8zn-alcatrazhornblowerferry	
f-9qc3-datatrilliumtransitcom	http://data.trilliumtransit.com/gtfs/riovista-ca-us/riovista-ca-us.zip	US	US-CA	San Francisco Bay Area	Rio Vista Delta Breeze	o-9qc3-riovistadeltabreeze	rio-vista-delta-breeze
f-9q8zmw-angelislandtiburonferry	http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=AT	US	US-CA	San Francisco Bay Area	Angel Island Tiburon Ferry	o-9q8zmw-angelislandtiburonferry	
f-9q60w-cityofsanluisobispotransit	http://mjcaction.com/MJC_GTFS_Public/sanluisobispo_google_transit.zip	US	US-CA	San Luis Obispo	City of San Luis Obispo Transit	o-9q60w-cityofsanluisobispotransit	
f-9q6-sanluisobisporegionaltransitauthority~pasoroblesexpress~so	http://mjcaction.com/MJC_GTFS_Public/slorta_google_transit.zip	US	US-CA	"San Luis Obispo, Paso Robles"	"San Luis Obispo Regional Transit Authority, Paso Robles Express, SoCoTransit - South County Transit"	"o-9q6-sanluisobisporegionaltransitauthority, o-9q64t-pasoroblesexpress, o-9q4p-socotransit"	san-luis-obispo-regional-transit-authority
f-9q4g-santabarbaramtd	http://sbmtd.gov/google_transit/feed.zip	US	US-CA	Santa Barbara	Santa Barbara Metropolitan Transit District	o-9q4g-santabarbaramtd	
f-9q9-scmtdcom	http://scmtd.com/google_transit/google_transit.zip	US	US-CA	Santa Cruz	Santa Cruz Metropolitan Transit District	o-9q9-santacruzmetro	santa-cruz-metro
f-9q4-smat~ca~us	http://data.trilliumtransit.com/gtfs/smat-ca-us/smat-ca-us.zip	US	US-CA	Santa Maria	"Guadalupe Flyer, Santa Maria Area Transit"	"o-9q4q-guadalupeflyer, o-9q4-santamariaareatransit"	
f-9q5c-bigbluebus	http://gtfs.bigbluebus.com/current.zip	US	US-CA	Santa Monica	Big Blue Bus	o-9q5c-bigbluebus	
f-9qbdx-santarosacitybus	ftp://ftp.ci.santa-rosa.ca.us/SantaRosaCityBus/google_transit.zip	US	US-CA	Santa Rosa	CityBus	o-9qbdx-santarosacitybus	citybus
f-9qc-sanjoaquinrtd	http://sanjoaquinrtd.com/RTD-GTFS/RTD-GTFS.zip	US	US-CA	Stockton	San Joaquin Regional Transit District	o-9qc-sanjoaquinregionaltransitdistrictrtd	san-joaquin-regional-transit-district-rtd
f-9qf-laketahoe~ca~us	http://trilliumtransit.com/transit_feeds/laketahoe-ca-us/laketahoe-ca-us.zip	US	US-CA	Tahoe	"Tahoe Truckee Area Regional Transit, North Lake Tahoe Express - 24 hour advance reservations required, BlueGo"	"o-9qfx-tahoeareametroaltransit, o-9qfx-northlaketahoeexpress~24houradvancereservationsrequired, o-9qft-bluego"	
f-9r0-trinity~ca~us	http://data.trilliumtransit.com/gtfs/trinity-ca-us/trinity-ca-us.zip	US	US-CA	Trinity County	Trinity Transit	o-9r0-trinitytransit	trinity-transit
f-9q5-vctc~ca~us	http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip	US	US-CA	Ventura	Ventura County Transportation Commission	o-9q5-venturacountytransportationcommission	
f-9qc7-yolobusyolocounty	http://iportal.sacrt.com/GTFS/Yolobus/google_transit.zip	US	US-CA	Yolo County	Yolo County Transportation District	o-9qc7-yolobusyolocounty	
f-9qd-yosemite~ca~us	http://data.trilliumtransit.com/gtfs/yosemite-ca-us/yosemite-ca-us.zip	US	US-CA	Yosemite	"Yosemite Area Regional Transportation System, Yosemite Valley Shuttle System"	"o-9qd-yosemitearearegionaltransportationsystem, o-9qdyw-yosemitevalleyshuttlesystem"	
f-9r2-siskiyou~ca~us	http://data.trilliumtransit.com/gtfs/siskiyou-ca-us/siskiyou-ca-us.zip	US	US-CA	Yreka	Siskiyou Transit and General Express	o-9r2-siskiyoutransitandgeneralexpress	siskiyou-transit-and-general-express
f-9qc-yubasutter~ca~us	http://data.trilliumtransit.com/gtfs/yubasutter-ca-us/yubasutter-ca-us.zip	US	US-CA	Yuba City	Yuba-Sutter Transit	o-9qc-yuba~suttertransit	
