feed_onestop_id,feed_url,operator_country,operator_state,operator_metro,operator_name,operator_onestop_id
f-rck-gowest~sealinkgroup~atairporter~atmetro~thepartybuscompany,https://cdn01.at.govt.nz/data/gtfs.zip,NZ,NZ-AUK,Auckland,"SeaLink Pine Harbour, SkyBus, AT Metro, Belaire Ferries, Fullers Ferries, Urban Express, Go Bus, Bayes Coachlines, The Party Bus Company, 360 Discovery, Metrolink, Birkenhead Transport, Howick and Eastern, NorthStar, Waiheke Bus Company, Ritchies Transport, Auckland Transport","o-rckq-sealinkpineharbour, o-rckq-skybus, o-rckm-atmetro, o-rckq-belaireferries, o-rckq-fullersferries, o-rckq-urbanexpress, o-rckm-gobus, o-rckp-bayescoachlines, o-rckn-thepartybuscompany, o-rckn-360discovery, o-rckq-metrolink, o-rckq-birkenheadtransport, o-rckq-howickandeastern, o-rckr-northstar, o-rckqx-waihekebuscompany, o-rck-ritchiestransport, o-rckn-gowest"
f-dnx-roanoke~va~us,http://data.trilliumtransit.com/gtfs/roanoke-va-us/roanoke-va-us.zip,US,US-VA,Roanoke,Valley Metro,o-dnx-radartransit
f-9zrs-metrorockislandcountymetropolitanmasstransitdistrict,http://www.gogreenmetro.com/latest/google_transit.zip,US,US-IL,Quad Cities,Metro Rock Island County Metropolitan Mass Transit District,o-9zrs-metrorockislandcountymetropolitanmasstransitdistrict
f-dnh01-cliffshuttles~emoryuniversity,http://documents.atlantaregional.com/transitdata/gtfs_CCTMA.zip,US,US-GA,Atlanta,Cliff Shuttles at Emory University,o-dnh01-cliffshuttles~emoryuniversity
f-dq259-ncsu~wolfline~nc~us,http://data.trilliumtransit.com/gtfs/ncsu-wolfline-nc-us/ncsu-wolfline-nc-us.zip,US,US-NC,Research Triangle,NCSU Wolfline,o-dq259-ncsuwolfline
f-9qd-fresnocounty~ca~us,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,US,US-CA,Fresno County,Fresno County Rural Transit Agency,o-9qd-fresnocountyruraltransitagency
f-gc6-slievebloomcoachtours,http://www.transportforireland.ie/transitData/google_transit_sbloom.zip,IE,IE-L,Tullamore,Slieve Bloom Coach Tours,o-gc6-slievebloomcoachtours
f-gc6c-suirway,http://www.transportforireland.ie/transitData/google_transit_suirway.zip,IE,IE-M,Waterford,Suirway,o-gc6c-suirway
f-udb-tampereenjoukkoliikenne,http://data.itsfactory.fi/journeys/files/gtfs/latest/gtfs_tampere.zip,FI,FI-11,Tampere,Tampereen joukkoliikenne,o-udb-tampereenjoukkoliikenne
f-dppc-alleganycountytransit,http://mdtrip.org/googletransit/Allegany/google_transit.zip,US,US-MD,Cumberland,Allegany County Transit,o-dppc-alleganycountytransit
f-xn6-å±±æ¢¨äº_é€_ã‚°ãƒ«ãƒ_ãƒ—~å¯Œå£«æ€¥è¡Œã‚°ãƒ«ãƒ_ãƒ—~ç”_æ–êå¸‚~ä¸_å_®å¸‚~åç—ã‚¢ãƒ«ãƒ—ã‚_å¸‚~å¯Œå£«å·ùç”º,http://opendata.busmaps.jp/yamanashi.zip,JP,JP-19,"Yamanashi, Kai, ChÅ«Åç, Fujikawa","å±±æ¢¨äº_é€_ã‚°ãƒ«ãƒ_ãƒ—, å¯Œå£«æ€¥è¡Œã‚°ãƒ«ãƒ_ãƒ—, ç”_æ–êå¸‚, ä¸_å_®å¸‚, åç—ã‚¢ãƒ«ãƒ—ã‚_å¸‚, å¯Œå£«å·ùç”º","o-xn6-å±±æ¢¨äº_é€_ã‚°ãƒ«ãƒ_ãƒ—, o-xn6-å¯Œå£«æ€¥è¡Œã‚°ãƒ«ãƒ_ãƒ—, o-xn6db-ç”_æ–êå¸‚, o-xn6d2-ä¸_å_®å¸‚, o-xn66-åç—ã‚¢ãƒ«ãƒ—ã‚_å¸‚, o-xn66n-å¯Œå£«å·ùç”º"
f-f2k2-laregiedetransportencommundelavilledeshawiniganrtcs,http://jmap.shawinigan.ca/doc/photos/google_transit.zip,CA,CA-QC,,RÃ©gie de transport en commun de Shawinigan,o-f2k2-laregiedetransportencommundelavilledeshawiniganrtcs
f-u-nl,http://data.ndovloket.nl/flixbus/flixbus-eu.zip,"NL, DE","NL-ZH, , DE-NW, NL-GE, NL-FR, NL-NB, NL-ZE, NL-OV, NL-UT, NL-LI, NL-GR",", Aachen, Stadsregio Arnhem-Nijmegen, Harlingen, Purmerend, Vlissingen, Amsterdam, Eindhoven, The Hague, Gouda, Enschede, Utrecht, Amersfoort, Emmerich, Kampen, Rotterdam, Den Helder, Dordrecht, Nes","Waterbus, Arriva, Aachener Verkehrsverbund, Aachener Verkehrsverbund - West, Breng, Connexxion, Rederij Doeksen, EBS, Westerschelde Ferry, GVB, Hermes, Haagsche Tramweg-Maatschappij, HTMbuzz, Haltetaxi Zeeland, DB, Keolis, NS, NS International, R-net, Syntus, U-OV, Valleilijn, Veolia, NIAG, OV Regio IJsselmond, Qbuzz, RET, TESO, Twents (Syntus), Wagenborg","o-u15pm-aqualiner, o-u17-arriva, o-u-dkb, o-u-west, o-u1h-breng, o-u17-connexxion, o-u17x-rederijdoeksen, o-u17d-ebs, o-u14s9-westerscheldeferry, o-u173-gvb, o-u15u-hermes, o-u170-htm, o-u170-htmbuzz, o-u14-haltetaxizeeland, o-u1hr-breng, o-u1-db, o-u1798k-gvb, o-u1h-keolis, o-u1k-arriva, o-u1-ns, o-u1-nsinternational, o-u172-r~net, o-u1k9-syntus, o-u178kd-u~ov, o-u17b-valleilijn, o-u1h-veolia, o-u1hq-niag, o-u1k-ovregioijsselmond, o-u1k-qbuzz, o-u15p-ret, o-u1k-syntus, o-u17mk-teso, o-u1k-twentssyntus, o-u178-u~ov, o-u15-veolia, o-u15q-waterbus, o-u1kr-wagenborg"
f-f24-octranspo,http://www.octranspo1.com/files/google_transit.zip,CA,CA-ON,Ottawa,OC Transpo,o-f24-octranspo
f-dpq-lakecounty~oh~us,http://data.trilliumtransit.com/gtfs/lakecounty-oh-us/lakecounty-oh-us.zip,US,US-OH,Cleveland,Laketran,o-dpq-laketran
f-gc6-irishrail~irishrail~irishrail~irishrail,http://www.transportforireland.ie/transitData/google_transit_irishrail.zip,IE,,,Irish Rail,o-gc-irishrail
f-dr63-monroecountytransitauthority,http://www.gomcta.com/google_transit.zip,US,US-PA,East Stroudsburg,Monroe County Transit Authority,o-dr63-monroecountytransitauthority
f-c2b6v-bctransit~squamishtransitsystem,http://bctransit.com/servlet/bctransit/data/GTFS%20-%20Squamish,CA,CA-BC,Squamish,BC Transit - Squamish Transit System,o-c2b6v-bctransit~squamishtransitsystem
f-dr1b-harfordtransitlink,http://mdtrip.org/googletransit/Harford/google_transit.zip,US,US-MD,Harford County,Harford Transit LINK,o-dr1b-harfordtransitlink
f-c23p1-seattlechildrenshospitalshuttle,http://transitfeeds.com/link?u=http://developer.onebusaway.org/tmp/sound/gtfs/modified/98_gtfs.zip,US,US-WA,Seattle,Seattle Children's Hospital Shuttle,o-c23p1-seattlechildrenshospitalshuttle
f-c262f-uniongaptransit,http://data.trilliumtransit.com/gtfs/uniongap-wa-us/uniongap-wa-us.zip,US,US-WA,,Union Gap Transit,o-c262f-uniongaptransit
f-drmr-bloombus,http://www.massdot.state.ma.us/Portals/0/docs/developers/Bloom_google_transit.zip,US,US-MA,Boston,Bloom Bus,o-drmr-bloombus
f-dpc5-valleytransit,http://gis.appleton.org/DataDownload/google_transit.zip,US,US-WI,Appleton,Valley Transit,o-dpc5-valleytransit
f-c28-nstranslinkca,http://ns.translink.ca/gtfs/google_transit.zip,CA,CA-BC,"Vancouver, Lower Mainland","TransLink, West Coast Express, British Columbia Rapid Transit Company","o-c28-translink, o-c2b-westcoastexpress, o-c2b8-britishcolumbiarapidtransitcompany"
f-gcf-josephmangan,http://www.transportforireland.ie/transitData/google_transit_mangan.zip,IE,IE-U,,Joseph Mangan,o-gcf-josephmangan
f-9q4-smat~ca~us,http://data.trilliumtransit.com/gtfs/smat-ca-us/smat-ca-us.zip,US,US-CA,Santa Maria,"Guadalupe Flyer, Santa Maria Area Transit","o-9q4q-guadalupeflyer, o-9q4-santamariaareatransit"
f-dj3-ecat~fl~us,http://data.trilliumtransit.com/gtfs/ecat-fl-us/ecat-fl-us.zip,US,US-FL,Pensacola,Escambia County Area Transit,o-dj3-escambiacountyareatransit
f-f253-citsud~ouest,http://www.amt.qc.ca/xdata/citso/google_transit.zip,CA,CA-QC,,CIT Sud-ouest,o-f253-citsud~ouest
f-f25g-citvalle~du~richelieu,http://www.amt.qc.ca/xdata/citvr/google_transit.zip,CA,CA-QC,Montreal,CIT VallÃ©e-du-Richelieu,o-f25g-citvalle~du~richelieu
f-s-atpnuoro,http://www.sardegnamobilita.it/opendata/dati_atpnu.zip,IT,IT-NU,Sardinia,Azienda Trasporti Pubblici - Nuoro,o-s-atpnuoro
f-dqc7-charlescountyvango,http://mdtrip.org/googletransit/charles/google_transit.zip,US,US-MD,Charles County,Charles County VanGo,o-dqc7-charlescountyvango
f-dqcv-queenannescountyride,http://mdtrip.org/googletransit/QueenAnnes/google_transit.zip,US,US-MD,Queen Anne's County,Queen Anne's County,o-dqcv-queenannescountyride
f-u2f-dpp,http://opendata.iprpraha.cz/DPP/JR/jrdata.zip,CZ,CZ-PR,Prague,"Dopravni podnik hl. m. Prahy, akciova spolecnost, Jaroslav Stepanek, CSAD POLKOST, spol. s r.o., ABOUT ME s.r.o., PROBO BUS a.s., ARRIVA PRAHA s.r.o., STENBUS s.r.o., Okresni autobusova doprava Kolin, s.r.o., CSAD MHD Kladno a.s., Martin UHER, spol. s r.o., ARRIVA STREDNI CECHY s.r.o., CSAD Stredni Cechy, a.s., Vlastimil Slezak, Prazske Benatky s.r.o., VITTUS GROUP, s.r.o., Prazska paroplavebni spolecnost, a.s.","o-u2fk-dopravnipodnikhlmprahyakciovaspolecnost, o-u2fm4-jaroslavstepanek, o-u2fs-csadpolkostspolsro, o-u2fk-aboutmesro, o-u2fh-probobusas, o-u2f-arrivaprahasro, o-u2fk-stenbussro, o-u2fs-okresniautobusovadopravakolinsro, o-u2fj-csadmhdkladnoas, o-u2f5-martinuherspolsro, o-u2f5-arrivastrednicechysro, o-u2f-csadstrednicechyas, o-u2fjt-vlastimilslezak, o-u2fh-prazskebenatkysro, o-u2fhxz-vittusgroupsro, o-u2fkbz-prazskaparoplavebnispolecnostas"
f-dng1-transitauthorityofrivercity,http://googletransit.ridetarc.org/feed/google_transit.zip,US,US-KY,Louisville,Transit Authority of River City,o-dng1-transitauthorityofrivercity
f-eyck-rodoviÃ¡riadelisboa,http://www.transporlis.pt/Portals/0/OpenData/gtfs/zip/61/gtfs_61.zip,PT,PT-11,Lisbon,RodoviÃ¡ria de Lisboa,o-eyck-rodoviÃ¡riadelisboa
f-6gy-sptrans,https://github.com/transitland/gtfs-archives-not-hosted-elsewhere/blob/master/sao-paulo-sptrans.zip?raw=true,BR,BR-SP,SÃ£o Paulo,SÃ£o Paulo Transporte S.A.,o-6gy-sptrans
f-dqcjr-dccirculator,http://circulatordashboard.dc.gov/circulatordata/gtfs/gtfs.zip,,,,,
f-9q7-getbus,http://www.getbus.org/googletransit/google_transit.zip,US,US-CA,Bakersfield,Golden Empire Transit District,o-9q7-goldenempiretransitdistrict
f-spew-lesbusdelacotebleue,http://tsvc.pilote3.cityway.fr/api/Export/v1/GetExportedDataFile?ExportFormat=Gtfs&OperatorCode=COTEBLEUE,FR,FR-13,Marseille,Le bus de la Cote Bleue,o-spew-lesbusdelacotebleue
f-9x-bustang~co~us,http://data.trilliumtransit.com/gtfs/bustang-co-us/bustang-co-us.zip,US,US-CO,Denver,Bustang,o-9x-bustang
f-f257-citlaurentides,http://www.rtm.quebec/xdata/citla/google_transit.zip,CA,CA-QC,Montreal,CIT Laurentides,o-f257-citlaurentides
f-c208u-woodburn~or~us,http://oregon-gtfs.com/gtfs_data/woodburn-or-us/woodburn-or-us.zip,US,US-OR,Woodburn,Woodburn Transit,o-c208u-woodburntransit
f-w5q-songteaw~chiangmai,http://119.59.102.211/gtfs/CM_CT_TH.zip,TH,TH-50,Chom Thong,Song Teaw - Chiang Mai,o-w5q-songteaw~chiangmai
f-djjk-citruscounty~fl~us,http://data.trilliumtransit.com/gtfs/citruscounty-fl-us/citruscounty-fl-us.zip,US,US-FL,Citrus County,Citrus County Transit,o-djjk-orangelinebuscitruscountytransit
f-dr4-septa~rail,https://github.com/septadev/GTFS/releases/download/v20170618/gtfs_public.zip#google_rail.zip,US,US-PA,Philadelphia,SEPTA,o-dr4-septa
f-9-amtrak~amtrakcalifornia~amtrakcharteredvehicle,http://github.com/transitland/gtfs-archives-not-hosted-elsewhere/raw/master/amtrak.zip,US,"US-DC, US-CA, US-FL, US-IA, US-IL, US-TX, US-PA, US-NC, US-MI",", Gainesville, Springfield, Houston, Tampa, Orland, Fort Myers, Wilkes Barre, Philadelphia, Wilmington, Detroit, Lansing, Toledo, St. Louis, Carbondale","Amtrak, Amtrak California, Amtrak Chartered Vehicle, Annett Bus Lines, Burlington Trailways, Executive Transportation, Lone Star Coaches, Martz First Class Coach, Martz Trailways, Sunway Charters, Trinity Transportation, Vandalia Bus Lines","o-9-amtrak, o-9q-amtrakcalifornia, o-9-amtrakcharteredvehicle, o-djj-annettbuslines, o-dp-burlingtontrailways, o-9zp-executivetransportation, o-9v-lonestarcoaches, o-dhv-martzfirstclasscoach, o-dr6-martztrailways, o-dq0-sunwaycharters, o-dps-trinitytransportation, o-dnb-vandaliabuslines"
f-9r-easternpoint~or~us,http://oregon-gtfs.com/gtfs_data/easternpoint-or-us/easternpoint-or-us.zip,US,US-OR,Bend,Eastern POINT,o-9r-easternpoint
f-rk86-qconnect~sunbus,https://gtfsrt.api.translink.com.au/GTFS/townsville.zip,AU,AU-QLD,,Townsville Sunbus,o-rk86-qconnect~sunbus
f-u0-openov~lu,http://openov.lu/data/gtfs/gtfs-openov-lu.zip,LU,"LU-LU, LU-ES","Luxembourg, , Esch-sur-Alzette","Autobus de la Ville de Luxembourg, SociÃ©tÃ© Nationale des Chemins de Fer Luxembourgeois, RÃ©gime GÃ©nÃ©ral des Transports Routiers, Transport intercommunal de personnes dans le canton d'Esch-sur-Alzette","o-u0u6-avl, o-u0-cfl, o-u0u-rgtr, o-u0u1-tice"
f-9q54-goldcoasttransit,http://www.goldcoasttransit.org/images/GTFS/GTFS.zip,US,US-CA,Oxnard,Gold Coast Transit,o-9q54-goldcoasttransit
f-sp3e-authosa~mohnsl~oliverassl~rosanbussl~solerisauret~sgmt~tc,https://navitia.opendatasoft.com/explore/dataset/es/files/d0d9c92d0a4d85b3b7502575544f19b1/download/,ES,ES-CT,Barcelona,"AUTHOSA, Mohn, Oliveras, Rosanbus, Soler i Sauret, SGMT, Transports Ciutat Comtal, Transports Urbans i Serveis Generals, Societat AnÃ_nima Laboral, Ute LÃ_nia 88","o-sp3e8-authosa, o-sp37-mohnsl, o-sp37-oliverassl, o-sp37-rosanbussl, o-sp37r-solerisauret, o-sp3e0-sgmt, o-sp3e0-tcc, o-sp3e-tusgsal, o-sp3e0-utelÃçnia88"
f-c2kx-spokanetransitauthority,https://www.spokanetransit.com/gtfs,US,US-WA,Spokane,Spokane Transit Authority,o-c2kx-spokanetransitauthority
f-9q9p-sanfranciscobayferry,http://api.511.org/transit/datafeeds?api_key=e74ef98b-6e66-4d18-92be-e06755664137&operator_id=SB,US,US-CA,San Francisco Bay Area,San Francisco Bay Ferry,o-9q9p-sanfranciscobayferry
f-9qc2-trideltatransit,http://70.232.147.132/rtt/public/utility/gtfs.aspx,US,US-CA,San Francisco Bay Area,Tri Delta Transit,o-9qc2-trideltatransit
f-spn-asara~atzeni~murgiaautolinee~baireautolinee~autolineedelgo,http://www.sardegnamobilita.it/opendata/dati_privati.zip,IT,"IT-88, IT-NU","Sassari, Terralba, Cagliari, Olbia, Iglesias, Macomer, La Maddalena, Sardinia, Oristano, Nuoro, , Tertenia, Sant'Antioco, Tempio Pausania, Ozieri, Villaputzu, Siniscola, Alghero, Villacidro","Asara Giuseppe Eredi Autoservizi, Atzeni Avelino, Autolinee Antonio Murgia, Autolinee Baire, Autolinee del Golfo, Autolinee Frau, Autoservizi FAB, Mereu Autolinee, Balestrucci, Autolinee Autonoleggio Caramelli Tours, Careddu Maddalo, Cooperative Oristanese Bus 90, Dedoni Giulio, REDENTOURS SARDEGNA, Digitur di Doppiu Gian Franco, Demarbus di Marco Dettori, Autoservi Eurosar di Carlo e Andrea Tucconi, Fata Eredi Angius Felice, Fratelli Cappato di Ivana e Pier Lorenzo, Fratelli Deplano, Fara Viaggi, Francesco Molinu, Garau Mauro, Giagheddu Antonio, Logudoro Tours, Masala Francesco Angelo Eredi, Melis Sergio, Autoservizi Nordorientale, Pani Franca Daniela e Christian, Pisanu Eredi, Autolinee di Puddu Sandro, SANNA ANTONIO, Sardabus di Addis Francesco, Autoservizi e Autolinee de Senis Enrico, Serra Gesuino, Seunis Tours, Sina di Gianfranco Stevelli, Sun Lines, Tour Bus di Caria Giacomo, Turmo Travel, Zentile Salvatore, Autoservizi Nuova Sun Travel di Moreddu Mario, Autolinee Trexenta de Lisci, Turmo Lines, Vacca Autoservizi, Vacca Viaggi","o-spnr-asara, o-spn1-atzeni, o-sny-murgiaautolinee, o-sny-baireautolinee, o-snyr-autolineedelgolfo, o-spn-frauautolinee, o-spnx-fab, o-spn0-mereu, o-spn-balestrucci, o-spq-caramellitours, o-sp-careddu, o-spn4-cobus90, o-snyr-dedoni, o-spn-deplanugiuseppino, o-spn-digitur, o-spnp-dettori, o-spnz-eurosar, o-spn4-fata, o-spn-cappato, o-spn-deplanoflli, o-spn-faraviaggi, o-spn-molinu, o-spn-garau, o-spq8-giagheddu, o-spn-logudorotour, o-spnt-masala, o-spn4-melis, o-spnx-nordorientale, o-spn2-panigerolamo, o-spn-pisanu, o-spnc-puddu, o-spnn-sanna, o-spq-sardabus, o-snvyp-senis, o-spq2-serra, o-spnn-seunis, o-spnb6-sina, o-spq-sunlines, o-snyr-tourbus, o-spn-turmotravel, o-spnp-zentile, o-spnw-autnuovasuntravel, o-spn2-trexenta, o-spnn-turmolinessrl, o-spn2-vaccaautoservizisnc, o-snyx-vaccaviaggisnc"
f-rhzx-translink~cairns,https://gtfsrt.api.translink.com.au/GTFS/cairns.zip,AU,AU-QLD,,Translink,o-r-translink
f-9xhvw-townofestespark,https://nationalparkservice.github.io/nps-gtfs/romo-epshuttles/shuttles/gtfs.zip,US,US-CO,Estes Park,Town of Estes Park,o-9xhvw-townofestespark
f-f25s-mrclesmoulinsurbis,http://www.amt.qc.ca/xdata/mrclm/google_transit.zip,CA,CA-QC,Montreal,MRC Les Moulins,o-f25s-mrclesmoulinsurbis
f-u2d-beanshuttle,http://gtfs.beanshuttle.com/google_transit.zip,CZ,CZ-PR,,Bean Shuttle,o-u2d-beanshuttle
f-9q-easternsierra~ca~us,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,US,US-CA,Bishop,Eastern Sierra Transit Authority,o-9q-easternsierratransitauthority
f-de30-ati,https://ati.pr/wp-content/uploads/2016/04/google_transit.zip,US,US-PR,Puerto Rico,Autoridad de Transporte Integrado,o-de30-ati
f-dr5r-nycferry,http://nycferry.connexionz.net/rtt/public/utility/gtfs.aspx,US,US-NY,New York City,NYC Ferry,o-dr5r-nycferry
f-wdw4-p2p,https://github.com/sakayph/p2p-gtfs/archive/master.zip#p2p-gtfs-master,PH,PH-00,Manila,"HM Transport Inc. and Robinsons Malls, Froehlich Tours, RRCG Transport, Lingkod Pinoy Bus Liner, Inc.","o-wdw4f-hmtransportincandrobinsonsmalls, o-wdw54-froehlichtours, o-wdw4-rrcgtransport, o-wdw5-lingkodpinoybuslinerinc"
f-c26-yakimatransit,http://mjcaction.com/MJC_GTFS_Public/yakima_google_transit.zip,US,US-WA,Yakima,Yakima Transit,o-c26-yakimatransit
f-9t9-suntran,http://www.suntran.com/GTFS/SuntranGTFS.zip,US,US-AZ,Tucson,SunTran,o-9t9-suntran
f-udg-oypohjolanliikenneab~etelÃ_~suomenlinjaliikenneoy~linjaliik,http://dev.hsl.fi/gtfs.waltti/kvl.zip,FI,FI-09,Kouvola,"EtelÃ_-Suomen Linjaliikenne, Linjaliikenne Martti Laurila, Kari VÃ_isÃ_nen Ky, Matkatoimisto Matka-Majuri Ky, Linja-autoliikenne P. Puolakka Ky, ElimÃ_en Liikenne, Anjalankosken Linja, Kymen Charterline","o-udg-etelÃ_~suomenlinjaliikenneoy, o-udg-linjaliikennemarttilaurilaoy, o-udg4-karivÃ_isÃ_nenky, o-udff-matkatoimistomatka~majuriky, o-udg4-linja~autoliikenneppuolakkaky, o-udfc-elimÃ_enliikenneoy, o-udg1-anjalankoskenlinjaoy, o-udg1-kymencharterlineoy"
f-9qbc9-petalumatransit~petaluma~ca~us,http://data.trilliumtransit.com/gtfs/petalumatransit-petaluma-ca-us/petalumatransit-petaluma-ca-us.zip,US,US-CA,San Francisco Bay Area,Petaluma Transit,o-9qbc9-petalumatransit
f-djfq-birminghamjeffersoncountytransitauthority,https://maxtransit.org/wp-content/uploads/2017/05/BJCTA_GTFS_0317.zip,US,US-AL, Birmingham,Birmingham Jefferson County Transit Authority,o-djfq-birminghamjeffersoncountytransitauthority
f-c0z-bctransit~rdntransitsystem,http://bctransit.com/servlet/bctransit/data/GTFS%20-%20Nanaimo,CA,CA-BC,Nanaimo,BC Transit - RDN Transit System,o-c0z-bctransit~rdntransitsystem
f-9vxz-jatran~ms~us,http://data.trilliumtransit.com/gtfs/jatran-ms-us/jatran-ms-us.zip,US,US-MS,Jackson,JATRAN,o-9vxz-jatran
f-gbqu-semitan,http://data.nantes.fr/fileadmin/data/datastore/nm/mobilite/24440040400129_NM_TAN_00005/ARRETS_HORAIRES_CIRCUITS_TAN_gtfs.zip#ARRETS_HORAIRES_CIRCUITS_TAN_GTFS_HIVER2016.zip,FR,FR-R,Nantes,SociÃ©tÃ© d'Economie Mixte des Transports de l'AgglomÃ©ration Nantaise,o-gbqu-semitan
